$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
1.0,0.068263334490339,0.9509429596205021,0.009487446488487794,0.007520536850630568,0.18512090709244475,0.6504685872960777,0.527363184079602,1.0
1.0,0.24907534608475113,0.986896333086759,0.0,0.5322836309838318,0.45757159463172353,0.5941033498890416,0.3632040579097538,1.0
1.0,0.20671931803936316,0.8552087250846183,0.00012536041118214867,0.8855459445906982,0.13764573147799924,0.35527140529020934,0.17274664660900088,1.0
1.0,0.8588893967093236,0.9040219378427788,0.03964808043875685,0.03976234003656307,0.6628199268738574,0.2303473491773309,0.08820840950639854,1.0
1.0,0.615248030185329,0.963045167018089,0.0,0.4740872267228942,0.8518477416490956,0.4544445677505271,0.5179225391188548,1.0
1.0,0.26235451249761493,0.948387712268651,0.00019080328181644724,0.5572409845449342,0.2931692425109712,0.5677351650448388,0.6680022896393818,1.0
0.0661199916960764,0.6818559269254723,0.6809217355200332,0.0,0.2651027610545983,0.9683412912601204,0.2818144073074528,0.43086983599750883,1.0
1.0,0.1778717261290988,0.3676015673334708,0.00010311404413281089,0.39853578057331407,0.09496803464631882,0.937822231387915,0.5442359249329759,1.0
0.8525218641428058,0.7135497783634839,0.5194680723613274,0.21576614352461962,0.13178387444590872,0.5508565951838984,0.6482568587516473,0.6507727327183419,1.0
1.0,0.08311546840958606,0.31928104575163396,0.10272331154684096,0.43965141612200437,0.06350762527233116,0.7502178649237473,0.7547930283224401,1.0
1.0,0.8844501325532499,0.819910412286315,0.00018283206874485786,0.16354328549227534,0.1286223603620075,0.8938659840936101,0.27488801535789376,1.0
1.0,0.7956510681586979,0.9865208545269583,0.05798575788402848,0.8625381485249237,0.46795523906408953,0.0741353001017294,0.4192522889114954,1.0
1.0,0.7066783489096573,0.3629283489096573,0.04789719626168224,0.02463006230529595,0.92601246105919,0.24873442367601245,0.2033683800623053,1.0
0.9996631106120157,0.3431779898933184,0.18820887142055026,0.0,0.5949466591802358,0.9833801235261089,0.8613138686131386,0.18439079169006176,1.0
1.0,0.7920670619505213,0.47863422612962586,0.0,0.48671028419546103,0.07012880801472092,0.97219382539358,0.9710693109793498,1.0
1.0,0.29764188198127045,0.22689834141938395,0.5430441159878145,0.2256572266726842,0.5733950129752905,0.3735755387566287,0.969987588852533,1.0
1.0,0.524111005592487,0.6775350849424924,0.0052759312018571276,0.5540782948190356,0.11195526010340826,0.17737680700643663,0.7256515775034293,1.0
0.8106284268241248,0.4575073808519612,0.961830451286377,0.0,0.017819485449177563,0.34974694221847324,0.972796288485871,0.9550822437789962,1.0
0.8542418772563177,0.2783167870036101,0.9375,0.0,0.36428249097472926,0.17317238267148014,0.2634250902527076,0.8416064981949458,1.0
1.0,0.41482843137254904,0.13735702614379086,0.00980392156862745,0.3249591503267974,0.7612336601307189,0.3118872549019608,0.4111519607843137,1.0
1.0,0.366324200913242,0.04452054794520548,0.006621004566210046,0.3302511415525114,0.9519406392694064,0.06335616438356165,0.9259132420091324,1.0
0.9870463155322009,0.3536600268850055,0.034828302578516435,0.0,0.046926555053158986,0.652939019919345,0.007943297079310766,0.31663204203837225,1.0
0.20353605282777718,0.9693258067951859,0.02130152305889871,0.06422409202257962,0.0002130152305889871,0.37874107998721906,0.38001917137075303,0.9302375119821067,1.0
0.9995602946026162,0.9525118170825547,0.6953940859624052,0.0,0.4168407167197977,0.9055732659118391,0.25381994063977137,0.09629548202704188,1.0
0.9385843164469119,0.7439278278972935,0.21223687254221604,0.0,0.41845940319222763,0.34408975248669904,0.15914873930141105,0.5836224843858432,1.0
1.0,0.16248364458189604,0.345426430355656,0.0,0.9984536695610801,0.49482574045438327,0.04555727370048769,0.4361841322707268,1.0
1.0,0.36375531566895647,0.22429397012321448,0.05539199651074038,0.12190600806891287,0.2052120815614437,0.631228873623378,0.762403227565151,1.0
1.0,0.5776902240827383,0.5690716572272839,0.0,0.4151686776655996,0.46934252647131247,0.7311007141098251,0.20413691209061807,1.0
0.9993510707332901,0.6067488643737833,0.9990266060999351,0.0,0.2927752541639628,0.004109885355829548,0.6121566082630326,0.16969500324464634,1.0
0.9688046947390095,0.23123648718212705,0.966642643879337,0.0003088644085246577,0.040049418305363946,0.7322145578091218,0.8559662308246679,0.9560382991866571,1.0
0.8635733333333333,0.8231466666666667,0.00416,0.04896,0.08032,0.32565333333333335,0.35328,0.9253333333333333,1.0
1.0,0.321766184037334,0.06413784851023094,0.04056479597941845,0.008615531889434008,0.4511188225439751,0.862749790594711,0.4654780423596985,1.0
1.0,0.002855933996192088,0.27353501163528665,0.0,0.0966786545377618,0.07203300190395599,0.39168605881108526,0.9737677173683097,1.0
0.2354606278950077,0.18142048378795678,0.5447761194029851,0.0,0.14140504374678334,0.12982501286670098,0.8777663407102418,0.01737004632012352,1.0
1.0,0.468944099378882,0.18799171842650103,0.0,0.1489648033126294,0.8900621118012423,0.5321946169772257,0.15186335403726708,1.0
1.0,0.46697528312804826,0.15086385054145657,0.0,0.20038025956848807,0.9384971480532364,0.5655947755641895,0.5112837893692651,1.0
0.22395676973881717,0.03862703892724907,0.9717802461723206,0.0,0.8419893925748023,0.6983888722105474,0.27829480636445514,0.10277194035825078,1.0
1.0,0.025154835636017153,0.5188184849928538,0.281467365412101,0.35083373034778464,0.889947594092425,0.5018580276322058,0.18904240114340162,1.0
